code	prompt	options	correctAnswer	tolerance	explanation	points	learningObjectiveCodes	questionTypeCode	bloomLevelCode	difficultyCode	contextCode	knowledgeDimensionCode
MOD2_Q11	Điền từ khóa thích hợp vào chỗ trống để hàm kết thúc và trả về giá trị: `public float GetSpeed() { {{return_keyword}} 5.5f; }`	get|yield|return|out	return_keyword:return	0	Từ khóa `return` dùng để kết thúc hàm ngay lập tức và đưa giá trị (ở đây là 5.5f) về cho nơi đã gọi hàm đó.	1.5	MOD2_METHODS	DRAG_AND_DROP	REMEMBER	EASY	TECH_ENG	FACTUAL
MOD2_Q12	Tại sao các lập trình viên khuyên nên tách code dài trong `Update()` thành các hàm nhỏ (ví dụ: `HandleMovement()`)?	A. Tăng tốc độ FPS của game lên mức tối đa.|B. Giúp code dễ đọc, dễ gỡ lỗi và tái sử dụng.|C. Tránh giới hạn 50 dòng code của hàm Update.|D. Giảm dung lượng RAM mà game đang chiếm dụng.	B. Giúp code dễ đọc, dễ gỡ lỗi và tái sử dụng.	0	Việc tách hàm (Modularity) không giúp game chạy nhanh hơn (thậm chí gọi hàm tốn một lượng siêu nhỏ CPU), nhưng nó là nguyên tắc sống còn của Kỹ thuật phần mềm để con người dễ dàng quản lý hệ thống.	3.0	MOD2_METHODS	MULTIPLE_CHOICE	EVALUATE	MEDIUM	TECH_ENG	CONCEPTUAL
MOD2_Q13	Sắp xếp vòng đời (Lifecycle) của các hàm cơ bản trong Unity MonoBehaviour theo thứ tự chạy từ sớm nhất đến muộn nhất.	Start()|Awake()|Update()	Awake()|Start()|Update()	0	`Awake` chạy ngay khi object được khởi tạo (kể cả khi script bị tắt). `Start` chạy trước khung hình (frame) đầu tiên (nếu script bật). `Update` chạy lặp lại mỗi khung hình sau đó.	2.5	MOD2_LIFECYCLE	SEQUENCE	UNDERSTAND	EASY	TECH_ENG	PROCEDURAL
MOD2_Q14	Đoạn code nào sau đây dùng để tìm và lấy tham chiếu đến Component Rigidbody2D đang gắn trên cùng GameObject?	A. Rigidbody2D rb = new Rigidbody2D();|B. rb = GameObject.Find("Rigidbody2D");|C. rb = GetComponent<Rigidbody2D>();|D. rb = GetObject<Rigidbody2D>();	C. rb = GetComponent<Rigidbody2D>();	0	`GetComponent<T>()` là API quan trọng nhất của Unity để giao tiếp giữa các mảnh ghép (components). Đáp án A sai vì Component trong Unity không được phép dùng từ khóa `new` để tạo trực tiếp.	2.5	MOD2_LIFECYCLE	MULTIPLE_CHOICE	APPLY	MEDIUM	TECH_ENG	PROCEDURAL
MOD2_Q15	Nếu bạn gọi lệnh `GetComponent<Animator>()` nhưng GameObject đó hoàn toàn không có Animator, điều gì sẽ xảy ra?	A. Văng (crash) game ngay lập tức.|B. Tự động thêm Animator mới.|C. Trả về giá trị null (rỗng).|D. Báo lỗi cú pháp màu đỏ.	C. Trả về giá trị null (rỗng).	0	Nó sẽ trả về `null`. Nếu sau đó bạn cố gắng gọi `animator.Play()`, bạn sẽ gặp lỗi `NullReferenceException` kinh điển tại runtime. Đây là lý do ta luôn phải kiểm tra null trước khi dùng.	3.0	MOD2_LIFECYCLE	MULTIPLE_CHOICE	ANALYZE	HARD	TECH_ENG	CONCEPTUAL
MOD2_Q16	Lớp (Class) nào mà MỌI C# script trong Unity muốn gắn lên GameObject đều phải kế thừa (Inherit)?		MonoBehaviour	0	`MonoBehaviour` là lớp cơ sở cung cấp các hàm lifecycle như `Start`, `Update`, `OnCollisionEnter` cũng như các tham chiếu môi trường như `transform`, `gameObject`.	2.0	MOD2_LIFECYCLE	SHORT_ANSWER	REMEMBER	EASY	TECH_ENG	FACTUAL
MOD2_Q17	Sự khác biệt VỀ HIỆU NĂNG quan trọng nhất giữa `Update()` và `FixedUpdate()` là gì?	A. Update cho đồ họa, FixedUpdate cho âm thanh.|B. Update chạy nhanh hơn FixedUpdate hai lần.|C. Update theo FPS, FixedUpdate theo thời gian.|D. Update nhận Input, FixedUpdate nhận Event.	C. Update theo FPS, FixedUpdate theo thời gian.	0	Vì FPS (số khung hình/giây) thay đổi liên tục, các tính toán vật lý (như AddForce) nếu đặt trong `Update` sẽ gây ra chuyển động giật cục. Mọi thao tác vật lý phải nằm trong `FixedUpdate`.	3.5	MOD2_LIFECYCLE	MULTIPLE_CHOICE	ANALYZE	HARD	TECH_ENG	CONCEPTUAL
MOD2_Q18	Dòng code nào sau đây có nguy cơ gây ra sụt giảm FPS cực mạnh nếu đặt trực tiếp bên trong hàm `Update()`?	A. Debug.Log("Running");|B. GetComponent<Rigidbody2D>();|C. GameObject.Find("Player");|D. Tất cả các hành động trên.	D. Tất cả các hành động trên.	0	`Debug.Log` tốn tài nguyên hệ thống nếu gọi 60 lần/giây. `GetComponent` và `Find` phải duyệt cây cấu trúc của Scene, gọi liên tục trong Update là điều cấm kỵ (phải lưu biến cache lại ở `Start`).	4.0	MOD2_LIFECYCLE	MULTIPLE_CHOICE	EVALUATE	VERY_HARD	TECH_ENG	METACOGNITIVE
MOD2_Q19	Toán tử nào được dùng để SO SÁNH BẰNG giữa hai biến trong C# (ví dụ: kiểm tra máu có bằng 0 không)?		==	0	`==` là toán tử so sánh logic. Lỗi phổ biến nhất của người mới là dùng `=` (toán tử gán) trong câu lệnh if (ví dụ `if (health = 0)`), dẫn đến lỗi biên dịch hoặc sai logic trầm trọng.	1.5	MOD2_LOGIC	SHORT_ANSWER	UNDERSTAND	VERY_EASY	TECH_ENG	FACTUAL
MOD2_Q20	Biểu thức điều kiện `if (A || B)` sẽ thực thi khối lệnh bên trong khi nào?	A. Cả A và B đều phải là true.|B. Ít nhất một trong hai là true.|C. Cả A và B đều phải là false.|D. A là true và B phải là false.	B. Ít nhất một trong hai là true.	0	`||` là toán tử OR (Hoặc). Nó sẽ trả về `true` nếu một trong các điều kiện đúng. Khác với `&&` (AND) yêu cầu tất cả đều phải đúng.	2.0	MOD2_LOGIC	MULTIPLE_CHOICE	UNDERSTAND	EASY	TECH_ENG	CONCEPTUAL
MOD2_Q21	Giả sử `int score = 25;`. Chuyện gì sẽ xảy ra ở đoạn code: `if (score > 10) { print("Cấp 1"); } else if (score > 20) { print("Cấp 2"); }`?	A. In ra "Cấp 1" và "Cấp 2".|B. Chỉ in ra dòng chữ "Cấp 2".|C. Chỉ in ra dòng chữ "Cấp 1".|D. Báo lỗi do dư thừa điều kiện.	C. Chỉ in ra dòng chữ "Cấp 1".	0	Đây là bẫy logic. Do `25 > 10` là `true`, C# sẽ chạy nhánh `if` đầu tiên, in ra "Cấp 1", và BỎ QUA HOÀN TOÀN nhánh `else if` bên dưới mặc dù `25 > 20` cũng đúng. Phải cẩn thận thứ tự đặt điều kiện!	4.0	MOD2_LOGIC	MULTIPLE_CHOICE	ANALYZE	HARD	TECH_ENG	PROCEDURAL
MOD2_Q22	Nếu bạn muốn nhân vật nhảy lên DUY NHẤT một lần tại khoảnh khắc người chơi nhấn phím Space, dùng hàm nào?	A. Input.GetKey(KeyCode.Space)|B. Input.GetKeyDown(KeyCode.Space)|C. Input.GetAxis("Space")|D. Input.GetButtonUp("Space")	B. Input.GetKeyDown(KeyCode.Space)	0	`GetKeyDown` chỉ trả về `true` đúng 1 frame duy nhất khi phím bắt đầu lún xuống. Nếu dùng `GetKey`, nó sẽ liên tục trả về `true` khi phím bị giữ, khiến nhân vật bay vút lên trời như tên lửa.	3.0	MOD2_LOGIC	MULTIPLE_CHOICE	APPLY	MEDIUM	TECH_ENG	PROCEDURAL
MOD2_Q23	Cho biết kết quả đoạn code logic sau nếu `bool isGrounded = true; bool hasDoubleJump = false;`. Lệnh `if (!isGrounded && hasDoubleJump)` trả về True hay False?	TRUE|FALSE	FALSE	0	Toán tử `!` đảo ngược `isGrounded` thành `false`. Phép `false && false` (AND) chắc chắn trả về `false`. Lệnh if sẽ không được thực thi.	3.0	MOD2_LOGIC	TRUE_FALSE	ANALYZE	MEDIUM	TECH_ENG	PROCEDURAL
MOD2_Q24	Bạn có biến `float x = 5.5f;`. Nếu chạy `if(x >= 5) { x = 1; } else { x = 2; }`. Biến x sẽ có giá trị bằng bao nhiêu sau khi chạy xong?		1	0	Vì `5.5 >= 5` là đúng (True), nhánh `if` sẽ được thực thi, do đó biến `x` được gán giá trị mới là `1`. Nhánh `else` bị bỏ qua.	2.5	MOD2_LOGIC	NUMERIC	APPLY	MEDIUM	TECH_ENG	PROCEDURAL
MOD2_Q25	Những cách viết nào sau đây để kiểm tra biến boolean `isDead` đang là `true` là chuẩn mực và hợp lệ? (Chọn nhiều đáp án)	A. if (isDead == true)|B. if (isDead = true)|C. if (isDead)|D. if (true == isDead)	A. if (isDead == true)|C. if (isDead)|D. if (true == isDead)	0	A, C, D đều chạy đúng, trong đó C là cách viết Clean Code ngắn gọn nhất mà giới chuyên nghiệp hay dùng. B là lỗi cú pháp cực kỳ nguy hiểm (dùng phép gán trong lệnh if) sẽ luôn trả về true và đè biến isDead thành true.	3.5	MOD2_LOGIC	MULTIPLE_RESPONSE	EVALUATE	HARD	TECH_ENG	METACOGNITIVE
MOD2_Q26	Trong Rigidbody2D, khi muốn dùng `AddForce` để mô phỏng một cú nhảy nảy lên ngay lập tức, ta nên kết hợp với ForceMode2D nào?	A. ForceMode2D.Force|B. ForceMode2D.Impulse|C. ForceMode2D.VelocityChange|D. ForceMode2D.Gravity	B. ForceMode2D.Impulse	0	`Impulse` (Xung lực) áp dụng toàn bộ lực vào vật thể ngay lập tức, bỏ qua thời gian, hoàn hảo cho nhảy, vụ nổ. `Force` thì tác dụng lực từ từ theo thời gian (như tên lửa đẩy).	2.5	MOD2_PHYSICS	MULTIPLE_CHOICE	APPLY	MEDIUM	TECH_ENG	CONCEPTUAL
MOD2_Q27	Khái niệm `Vector2` trong Unity chứa bản chất dữ liệu là gì?	A. Một đối tượng chứa Tốc độ và Góc xoay.|B. Hai giá trị Float X và Y đại diện tọa độ/hướng.|C. Khung bao va chạm (Chiều dài, Chiều rộng).|D. Ba trục tọa độ X, Y và Z trong không gian.	B. Hai giá trị Float X và Y đại diện tọa độ/hướng.	0	`Vector2` đơn giản là một gói dữ liệu chứa 2 con số float `x` và `y`. Nó có thể được dùng để biểu thị tọa độ (Position), vận tốc (Velocity), hoặc hướng (Direction). Trục Z thuộc về `Vector3`.	2.0	MOD2_PHYSICS	MULTIPLE_CHOICE	UNDERSTAND	EASY	TECH_ENG	FACTUAL
MOD2_Q28	TẠI SAO chúng ta phải nhân tốc độ di chuyển với `Time.deltaTime` nếu thực hiện di chuyển bằng `transform.Translate` trong `Update()`?	A. Giúp game vượt qua giới hạn 60 FPS mặc định.|B. Đảm bảo di chuyển đều trên mọi tốc độ FPS.|C. Kích hoạt hệ thống trọng lực vật lý của Unity.|D. Ngăn chặn lỗi biên dịch do sai kiểu dữ liệu.	B. Đảm bảo di chuyển đều trên mọi tốc độ FPS.	0	Nếu không có `Time.deltaTime`, máy chạy 120 FPS sẽ di chuyển nhanh gấp đôi máy 60 FPS. `Time.deltaTime` (thời gian giữa 2 frame) chuẩn hóa di chuyển dựa trên thời gian thực (Frame Rate Independent).	4.0	MOD2_PHYSICS	MULTIPLE_CHOICE	EVALUATE	EXPERT	TECH_ENG	CONCEPTUAL
MOD2_Q29	Ghép nối các loại Body Type của Rigidbody2D với đặc điểm vật lý của chúng.	Dynamic|Kinematic|Static#Bị rơi bởi trọng lực|Chỉ di chuyển bằng code|Đứng yên hoàn toàn	Dynamic:Bị rơi bởi trọng lực|Kinematic:Chỉ di chuyển bằng code|Static:Đứng yên hoàn toàn	0	Dynamic dùng cho Player/Kẻ thù. Kinematic dùng cho nền tảng di chuyển (Moving Platforms). Static dùng cho mặt đất, bức tường.	3.0	MOD2_PHYSICS	MATCHING	ANALYZE	MEDIUM	TECH_ENG	FACTUAL
MOD2_Q30	Sự kiện `OnCollisionEnter2D` sẽ KHÔNG kích hoạt nếu cả hai vật thể va chạm đều thiết lập Rigidbody2D ở chế độ Kinematic. Đúng hay Sai?	TRUE|FALSE	TRUE	0	Chính xác. Engine vật lý của Unity sẽ bỏ qua tính toán va chạm (Collision) giữa hai vật Kinematic hoặc giữa Kinematic với Static để tiết kiệm hiệu năng. Ít nhất một vật phải là Dynamic.	3.5	MOD2_PHYSICS	TRUE_FALSE	ANALYZE	HARD	TECH_ENG	CONCEPTUAL
MOD2_Q31	Tại sao khi lập trình nhảy, ta viết `rb.velocity = new Vector2(5, rb.velocity.y);` mà KHÔNG viết là `new Vector2(5, 0)`?	A. Gán 0 sẽ gây ra lỗi biên dịch hệ thống.|B. Gán 0 triệt tiêu trọng lực, làm nhân vật lơ lửng.|C. Dùng rb.velocity.y tăng tốc độ di chuyển ngang.|D. Không có sự khác biệt giữa hai cách viết này.	B. Gán 0 triệt tiêu trọng lực, làm nhân vật lơ lửng.	0	Khi di chuyển nhân vật trục X, ta luôn phải giữ nguyên vận tốc trục Y hiện tại (`rb.velocity.y`) để hệ thống trọng lực vẫn kéo nhân vật xuống đất bình thường. Gán Y=0 liên tục sẽ "tắt" trọng lực.	4.0	MOD2_PHYSICS	MULTIPLE_CHOICE	ANALYZE	VERY_HARD	TECH_ENG	PROCEDURAL
MOD2_Q32	Điền tên hàm thích hợp để áp dụng một lực vật lý đẩy Rigidbody2D lên trên: `rb.{{physics_func}}(Vector2.up * 10);`	Push|AddForce|MovePosition|Translate	physics_func:AddForce	0	`AddForce` là API cốt lõi của Rigidbody để tác dụng lực (đẩy/kéo) lên vật thể.	2.0	MOD2_PHYSICS	DRAG_AND_DROP	REMEMBER	EASY	TECH_ENG	FACTUAL
MOD2_Q33	Nếu muốn một GameObject (như đồng xu) cho phép Player đi xuyên qua nhưng vẫn phát hiện tương tác, bạn phải tích vào ô nào trên Collider2D?		Is Trigger|isTrigger|is trigger|IsTrigger	0	Khi chọn `Is Trigger = true`, hệ thống vật lý sẽ bỏ qua việc tính toán phản lực dội ra, nhưng vẫn phát đi tín hiệu `OnTriggerEnter2D` để lập trình viên xử lý (như cộng điểm).	2.0	MOD2_COLLISION	SHORT_ANSWER	UNDERSTAND	EASY	TECH_ENG	FACTUAL
MOD2_Q34	Hàm nào sau đây là hàm chuẩn xác để bắt sự kiện khi một GameObject đi vào vùng Trigger 2D?	A. void OnCollisionEnter2D(Collision2D col)|B. void OnTriggerEnter2D(Collider2D col)|C. void OnCollisionTrigger2D(Collider2D col)|D. void OnTriggerStay2D(Collision2D col)	B. void OnTriggerEnter2D(Collider2D col)	0	`OnTriggerEnter2D` nhận tham số là `Collider2D` (chứa thông tin về vật thể đâm xuyên vào). Lỗi phổ biến là nhầm tham số thành `Collision2D` khiến hàm không bao giờ chạy.	3.0	MOD2_COLLISION	MULTIPLE_CHOICE	REMEMBER	MEDIUM	TECH_ENG	FACTUAL
MOD2_Q35	Sắp xếp các bước logic chuẩn để xử lý sự kiện "Ăn Đồng Xu" trong hàm `OnTriggerEnter2D`.	Kiểm tra Tag là "Coin"|Cộng điểm vào biến score|Hủy (Destroy) đồng xu	Kiểm tra Tag là "Coin"|Cộng điểm vào biến score|Hủy (Destroy) đồng xu	0	1. Nhận diện đối tượng (Tag). 2. Cập nhật logic game (Cộng điểm). 3. Cập nhật môi trường (Hủy vật phẩm để không ăn được 2 lần).	3.0	MOD2_COLLISION	SEQUENCE	APPLY	MEDIUM	TECH_ENG	PROCEDURAL
MOD2_Q36	Để gỡ bỏ (hủy) hoàn toàn GameObject đang gắn script này ra khỏi màn hình game, ta dùng câu lệnh nào trong C#?		Destroy(gameObject)|Destroy(gameObject);|Destroy (gameObject)	0	`Destroy()` là hàm giải phóng GameObject. Lưu ý `gameObject` viết thường (tham chiếu đến GO chứa script), nếu viết `GameObject` (viết hoa chữ G) sẽ báo lỗi kiểu dữ liệu.	2.0	MOD2_COLLISION	SHORT_ANSWER	REMEMBER	EASY	TECH_ENG	FACTUAL
MOD2_Q37	Khi xử lý âm thanh ăn đồng xu, dùng lệnh `audioSource.PlayOneShot()` tốt hơn `audioSource.Play()` ở điểm nào?	A. PlayOneShot phát ra âm lượng lớn hơn Play.|B. PlayOneShot không bị ngắt quãng khi gọi đè.|C. PlayOneShot tiêu thụ ít dung lượng RAM hơn.|D. PlayOneShot chỉ dành riêng cho nhạc nền.	B. PlayOneShot không bị ngắt quãng khi gọi đè.	0	`Play()` sẽ tắt âm thanh hiện tại để phát lại từ đầu nếu bị gọi đè. `PlayOneShot()` sẽ tạo ra nhiều luồng âm thanh phát chồng lên nhau, cực kỳ thích hợp cho Sound Effects (SFX) nhanh như ăn coin.	3.5	MOD2_COLLISION	MULTIPLE_CHOICE	EVALUATE	HARD	TECH_ENG	CONCEPTUAL
MOD2_Q38	Nếu bạn viết cập nhật UI như sau: `scoreText.text = score;` (với score là `int`), Unity sẽ báo lỗi đỏ. Tại sao?	A. Vì scoreText chưa được gắn trong Inspector.|B. Vì C# không tự ép kiểu số (int) sang chữ (string).|C. Vì bạn quên khai báo using UnityEngine.UI.|D. Vì biến score có chứa giá trị nhỏ hơn 0.	B. Vì C# không tự ép kiểu số (int) sang chữ (string).	0	Biến `.text` là kiểu String. Không thể gán trực tiếp một số (int) vào một biến chữ (string). Phải ép kiểu tường minh bằng cách gọi `scoreText.text = score.ToString();`.	3.5	MOD2_COLLISION	MULTIPLE_CHOICE	ANALYZE	HARD	TECH_ENG	CONCEPTUAL
MOD2_Q39	Cú pháp hiệu quả và an toàn nhất để kiểm tra xem vật thể đang va chạm có phải là Kẻ thù (Enemy) hay không là gì?	A. if (col.gameObject.name == "Enemy")|B. if (col.gameObject.CompareTag("Enemy"))|C. if (col.tag == "Enemy")|D. if (col.name.Contains("Enemy"))	B. if (col.gameObject.CompareTag("Enemy"))	0	`CompareTag` là API được Unity tối ưu hóa ở mức C++, chạy nhanh hơn và không sinh rác bộ nhớ (Garbage) so với việc so sánh chuỗi bằng dấu `==`. Đáp án A nguy hiểm vì Unity hay tự thêm "(Clone)" vào tên object.	4.0	MOD2_COLLISION	MULTIPLE_CHOICE	EVALUATE	VERY_HARD	TECH_ENG	METACOGNITIVE
MOD2_Q40	Để dùng được các class UI như `Text`, `Image`, `Button` trong script, bạn phải khai báo thư viện nào ở đầu file?	A. using System.UI;|B. using UnityEngine.Physics2D;|C. using UnityEngine.UI;|D. using Unity.Graphics;	C. using UnityEngine.UI;	0	Nếu không có `using UnityEngine.UI;`, C# sẽ không nhận diện được các kiểu dữ liệu liên quan đến giao diện, và báo lỗi "The type or namespace name 'Text' could not be found".	2.0	MOD2_COLLISION	MULTIPLE_CHOICE	REMEMBER	EASY	TECH_ENG	FACTUAL
MOD2_Q41	Trong C#, biểu thức toán học `5 / 2` sẽ trả về kết quả là `2.5`. Đúng hay Sai?	TRUE|FALSE	FALSE	0	Sai. Trong C#, nếu cả hai vế của phép chia đều là số nguyên (Int), C# sẽ thực hiện "Chia nguyên" (chặt bỏ phần thập phân). Do đó `5 / 2` sẽ trả về `2`. Để ra `2.5`, phải ép kiểu một bên thành float, ví dụ `5f / 2`.	3.0	MOD2_CS_BASICS	TRUE_FALSE	ANALYZE	MEDIUM	TECH_ENG	PROCEDURAL
MOD2_Q42	Khai báo biến trong hàm (Local Variable) có thể được gắn attribute `[SerializeField]` để hiện lên Inspector. Đúng hay Sai?	TRUE|FALSE	FALSE	0	Sai. Chỉ có các Field (biến khai báo ở cấp độ Class, bên ngoài các hàm) mới có thể hiển thị trên Inspector. Các biến khai báo bên trong hàm (Local Variable) sẽ bị hủy ngay khi hàm chạy xong.	3.0	MOD2_CS_BASICS	TRUE_FALSE	UNDERSTAND	MEDIUM	TECH_ENG	CONCEPTUAL
MOD2_Q43	Đánh dấu các điều kiện BẮT BUỘC phải thỏa mãn nếu muốn sự kiện `OnCollisionEnter2D` được kích hoạt.	A. Cả hai Object đều phải có Collider2D.|B. Cả hai Object đều phải bật Is Trigger.|C. Cả hai Object đều phải có Rigidbody2D.|D. Ít nhất một Object phải có Rigidbody2D.	A. Cả hai Object đều phải có Collider2D.|D. Ít nhất một Object phải có Rigidbody2D.	0	Va chạm vật lý (Collision) yêu cầu hai vật đều có Collider, và ít nhất một vật có hệ thống vật lý (Rigidbody) chủ động chạy để tạo ra tương tác dội lại. Đáp án B sai vì bật Is Trigger sẽ tắt tính năng va chạm cứng.	3.5	MOD2_PHYSICS	MULTIPLE_RESPONSE	ANALYZE	HARD	TECH_ENG	PROCEDURAL
MOD2_Q44	Để thiết lập cho một Rigidbody2D hoàn toàn không bị ảnh hưởng bởi lực hút Trái Đất (không rơi xuống), ta chỉnh giá trị `Gravity Scale` bằng bao nhiêu?		0	0	`Gravity Scale` = 0 sẽ triệt tiêu gia tốc trọng trường lên vật thể đó, biến nó thành lơ lửng, nhưng nó vẫn chịu ảnh hưởng của các lực AddForce khác do script gọi.	2.0	MOD2_PHYSICS	NUMERIC	APPLY	EASY	TECH_ENG	FACTUAL
MOD2_Q45	Kéo thả hàm Lifecycle phù hợp với mô tả chức năng chuẩn mực của nó.	Awake|Update|FixedUpdate#Lấy tham chiếu Component|Nhận Input người chơi|Tính toán hệ thống vật lý	Awake:Lấy tham chiếu Component|Update:Nhận Input người chơi|FixedUpdate:Tính toán hệ thống vật lý	0	Awake luôn chạy đầu tiên (chuẩn bị dữ liệu). Update chạy mỗi khung hình (hoàn hảo để bắt sự kiện lún phím). FixedUpdate chạy đồng bộ với Physics Engine (chuyên xử lý vật lý).	3.0	MOD2_LIFECYCLE	MATCHING	APPLY	MEDIUM	TECH_ENG	PROCEDURAL
